,x,y,z
1025,10,25,159.72515625
1026,10,26,160.57578125
1027,10,27,161.3753125
1028,10,28,162.15281249999998
1029,10,29,162.82078124999998
1030,10,30,163.38000000000002
1031,10,31,164.00625
1032,10,32,164.46265625
1033,10,33,164.2615625
1034,10,34,163.71640625
1035,10,35,163.17000000000002
1036,10,36,162.48890624999999
1037,10,37,161.69218750000002
1038,10,38,160.75
1039,10,39,159.6346875
1040,10,40,158.37796874999998
1041,10,41,157.29296875000003
1042,10,42,156.26453125
1043,10,43,155.17749999999998
1044,10,44,154.31359375
1045,10,45,153.325
1046,10,46,151.83640625
1047,10,47,150.3303125
1048,10,48,149.2825
1049,10,49,148.70656249999996
1050,10,50,148.11234374999998
1051,10,51,147.40578125
1052,10,52,146.60453124999998
1053,10,53,145.31093749999997
1054,10,54,143.8790625
1055,10,55,142.48906250000002
1056,10,56,140.89515624999999
1057,10,57,137.51125
1058,10,58,134.32234375
1059,10,59,135.26625
1060,10,60,138.61781249999999
1061,10,61,141.35062499999998
1062,10,62,144.9665625
1063,10,63,148.69859375
1064,10,64,151.87656249999998
1065,10,65,154.76171875000003
1066,10,66,157.35750000000002
1067,10,67,160.16890625
1068,10,68,163.0821875
1069,10,69,166.42640625000004
1070,10,70,170.04281250000003
1071,10,71,173.6290625
1072,10,72,177.13078124999998
1073,10,73,180.47234375
1074,10,74,183.9225
1075,10,75,187.28359375000002
1076,10,76,189.90828125000002
1077,10,77,191.73218749999998
1078,10,78,192.924375
1079,10,79,194.54953125
1080,10,80,196.54390624999996
1081,10,81,198.0240625
1082,10,82,199.47484374999996
1083,10,83,200.8409375
1084,10,84,201.91921874999997
1085,10,85,203.00203125
1086,10,86,204.2059375
1087,10,87,205.17640624999999
1088,10,88,205.9865625
1089,10,89,206.58187499999997
1090,10,90,207.06078125000002
1091,10,91,207.34875
1092,10,92,207.60671875000003
1093,10,93,207.66156250000003
1094,10,94,207.75343750000002
1095,10,95,207.77125
1096,10,96,207.75765624999997
1097,10,97,207.6775
1098,10,98,207.55499999999998
1099,10,99,207.18062500000002
